product_id,product_name,category,sub_category,brand,price,discount,final_price,stock,rating,reviews_count,supplier,country,city,warehouse_id,delivery_time_days,return_rate,is_active,launch_year,weight_kg,volume_l,color,material,warranty_years,sales_last_month,sales_last_3_months,sales_last_year,profit_margin,cost_price,revenue_last_month,revenue_last_year,views,cart_additions,wishlist_additions,conversion_rate,avg_session_time,bounce_rate,seo_score,ad_spend,ad_clicks,ad_conversions,seasonality_index,restock_frequency_days,damaged_returns,customer_complaints,net_promoter_score,supplier_rating,shipping_cost,tax_rate
1,Product_1,Sports,Beauty,BrandB,646.33,0.09,588.16,790,3.9,4106,Supplier_16,India,Mumbai,15,9,0.13,0,2024,13.05,78.6,Green,Metal,3,733,1001,5713,0.43,564.1,44112.0,529344.0,1889,18385,7263,0.068,42.61,0.75,97,8084.21,1691,4971,1.16,18,84,116,-59,4.78,36.68,0.16
2,Product_2,Electronics,Electronics,BrandC,708.7,0.42,411.05,569,3.61,3516,Supplier_25,China,London,3,2,0.23,0,2013,16.36,39.53,Red,Plastic,1,273,178,9422,0.12,365.1,3288.4,39460.8,39886,37343,12362,0.022,57.18,0.3,94,2530.22,6813,3456,0.62,15,13,200,-24,4.66,14.54,0.25
3,Product_3,Home,Beauty,BrandB,604.05,0.07,561.77,74,1.23,753,Supplier_11,China,Mumbai,10,7,0.03,1,2020,29.48,71.69,Blue,Fabric,1,647,1990,7739,0.24,459.27,6179.47,74153.64,1189,14996,27630,0.054,226.04,0.46,87,6069.46,473,602,0.96,60,88,171,9,2.06,46.51,0.22
4,Product_4,Beauty,Beauty,BrandE,496.65,0.2,397.32,554,1.42,3168,Supplier_2,USA,New York,1,3,0.29,1,2019,15.39,53.24,Blue,Plastic,5,452,202,6213,0.08,415.54,90986.28,1091835.36,78088,26431,27952,0.192,129.31,0.14,77,1170.1,4000,1368,1.12,38,21,73,63,3.9,36.92,0.14
5,Product_5,Electronics,Home,BrandC,433.83,0.33,290.67,922,4.63,879,Supplier_7,China,Berlin,15,10,0.3,1,2023,16.28,67.37,Black,Plastic,2,144,2599,3522,0.34,339.35,96502.44,1158029.28,81066,9635,27116,0.037,73.48,0.62,56,5041.59,5365,2056,1.06,40,4,66,-72,2.23,22.51,0.23
6,Product_6,Clothing,Electronics,BrandC,128.0,0.08,117.76,857,2.55,4393,Supplier_6,India,Shanghai,2,2,0.2,1,2025,32.04,73.77,Green,Wood,5,498,2358,7076,0.21,95.48,58173.44,698081.28,50585,18145,23068,0.105,296.92,0.32,86,8799.58,1550,517,1.24,24,16,138,24,1.1,9.34,0.09
7,Product_7,Clothing,Sports,BrandB,50.39,0.19,40.82,60,1.23,971,Supplier_42,UK,London,15,9,0.27,1,2017,19.93,64.66,Green,Plastic,2,612,58,2337,0.07,41.62,5959.72,71516.64,53919,30404,5531,0.169,186.76,0.16,88,3724.92,8436,3079,0.63,11,29,45,82,1.61,7.36,0.1
8,Product_8,Beauty,Beauty,BrandB,477.75,0.1,429.98,271,4.09,2295,Supplier_50,India,Mumbai,15,9,0.24,0,2014,14.61,25.23,Blue,Plastic,5,785,2806,3538,0.37,324.35,181881.54,2182578.48,86830,26757,19441,0.153,222.34,0.82,97,7374.66,1877,4586,1.28,26,82,144,-22,1.63,4.75,0.09
9,Product_9,Clothing,Home,BrandE,132.45,0.3,92.71,263,1.65,3151,Supplier_8,USA,Shanghai,2,1,0.27,1,2013,21.56,26.64,Blue,Plastic,4,385,2449,4930,0.49,82.7,25309.83,303717.96,95751,18679,13082,0.037,36.66,0.7,56,8720.34,7204,2827,1.41,24,12,173,-11,2.74,20.26,0.24
10,Product_10,Beauty,Home,BrandA,704.88,0.34,465.22,66,3.06,2014,Supplier_29,USA,London,1,5,0.08,1,2022,42.9,67.1,Blue,Plastic,4,120,2011,994,0.3,375.47,192601.08,2311212.96,23531,13076,3737,0.068,267.53,0.21,74,5694.51,7300,3468,0.78,32,18,125,-91,1.15,13.45,0.08
